"locale","name","region","state","SA1_MAINCO","SA1_7DIGIT","SA2_MAINCO"
"adelaide","Adelaide","GCCSA","SA",40104101419,4101419,401041014
"adelaide","Adelaide","GCCSA","SA",40104101420,4101420,401041014
"adelaide","Adelaide","GCCSA","SA",40104101421,4101421,401041014
"adelaide","Adelaide","GCCSA","SA",40104101422,4101422,401041014
"adelaide","Adelaide","GCCSA","SA",40104101424,4101424,401041014
"adelaide","Adelaide","GCCSA","SA",40104101425,4101425,401041014
"adelaide","Adelaide","GCCSA","SA",40104101426,4101426,401041014
"adelaide","Adelaide","GCCSA","SA",40104101427,4101427,401041014
"adelaide","Adelaide","GCCSA","SA",40104101501,4101501,401041015
"adelaide","Adelaide","GCCSA","SA",40104101502,4101502,401041015
"adelaide","Adelaide","GCCSA","SA",40104101503,4101503,401041015
"adelaide","Adelaide","GCCSA","SA",40104101504,4101504,401041015
"adelaide","Adelaide","GCCSA","SA",40104101505,4101505,401041015
"adelaide","Adelaide","GCCSA","SA",40104101506,4101506,401041015
"adelaide","Adelaide","GCCSA","SA",40104101507,4101507,401041015
"adelaide","Adelaide","GCCSA","SA",40104101508,4101508,401041015
"adelaide","Adelaide","GCCSA","SA",40104101509,4101509,401041015
"adelaide","Adelaide","GCCSA","SA",40104101510,4101510,401041015
"adelaide","Adelaide","GCCSA","SA",40104101511,4101511,401041015
"adelaide","Adelaide","GCCSA","SA",40104101512,4101512,401041015
"adelaide","Adelaide","GCCSA","SA",40104101513,4101513,401041015
"adelaide","Adelaide","GCCSA","SA",40104101514,4101514,401041015
"adelaide","Adelaide","GCCSA","SA",40104101515,4101515,401041015
"adelaide","Adelaide","GCCSA","SA",40104101516,4101516,401041015
"adelaide","Adelaide","GCCSA","SA",40104101517,4101517,401041015
"adelaide","Adelaide","GCCSA","SA",40104101518,4101518,401041015
"adelaide","Adelaide","GCCSA","SA",40104101519,4101519,401041015
"adelaide","Adelaide","GCCSA","SA",40104101520,4101520,401041015
"adelaide","Adelaide","GCCSA","SA",40104101521,4101521,401041015
"adelaide","Adelaide","GCCSA","SA",40104101522,4101522,401041015
"adelaide","Adelaide","GCCSA","SA",40104101523,4101523,401041015
"adelaide","Adelaide","GCCSA","SA",40104101524,4101524,401041015
"adelaide","Adelaide","GCCSA","SA",40104101525,4101525,401041015
"adelaide","Adelaide","GCCSA","SA",40104101526,4101526,401041015
"adelaide","Adelaide","GCCSA","SA",40104101527,4101527,401041015
"adelaide","Adelaide","GCCSA","SA",40104101528,4101528,401041015
"adelaide","Adelaide","GCCSA","SA",40104101529,4101529,401041015
"adelaide","Adelaide","GCCSA","SA",40104101530,4101530,401041015
"adelaide","Adelaide","GCCSA","SA",40104101531,4101531,401041015
"adelaide","Adelaide","GCCSA","SA",40104101532,4101532,401041015
"adelaide","Adelaide","GCCSA","SA",40104101533,4101533,401041015
"adelaide","Adelaide","GCCSA","SA",40104101534,4101534,401041015
